,features,label,indexedFeatures,prediction
0,"[0.7,39.6,8.7]",1.6,"[0.7,39.6,8.7]",7.8187018684882945
1,"[5.4,29.9,9.4]",5.3,"[5.4,29.9,9.4]",7.835933484918925
2,"[7.3,28.1,41.4]",5.5,"[7.3,28.1,41.4]",7.252627555656723
3,"[7.8,38.9,50.6]",6.6,"[7.8,38.9,50.6]",7.311525484246692
4,"[8.4,27.2,2.1]",5.7,"[8.4,27.2,2.1]",7.255875143827084
5,"[8.7,48.9,75.0]",7.2,"[8.7,48.9,75.0]",8.33345418373106
6,"[16.9,43.7,89.4]",8.7,"[16.9,43.7,89.4]",8.409388922308521
7,"[17.2,45.9,69.3]",9.3,"[17.2,45.9,69.3]",8.488296582997874
8,"[18.8,21.7,50.4]",7.0,"[18.8,21.7,50.4]",6.957490197607787
9,"[23.8,35.1,65.9]",9.2,"[23.8,35.1,65.9]",8.383571564180887
10,"[26.8,33.0,19.3]",8.8,"[26.8,33.0,19.3]",9.813710574527198
11,"[27.5,1.6,20.7]",6.9,"[27.5,1.6,20.7]",7.044966587401296
12,"[36.9,38.6,65.6]",10.8,"[36.9,38.6,65.6]",12.007799910254377
13,"[38.0,40.3,11.9]",10.9,"[38.0,40.3,11.9]",10.706895164682283
14,"[38.2,3.7,13.8]",7.6,"[38.2,3.7,13.8]",8.251401811990412
15,"[43.0,25.9,20.5]",9.6,"[43.0,25.9,20.5]",10.964389908940504
16,"[43.1,26.7,35.1]",10.1,"[43.1,26.7,35.1]",11.451544477349541
17,"[44.7,25.8,20.6]",10.1,"[44.7,25.8,20.6]",10.964389908940504
18,"[53.5,2.0,21.4]",8.1,"[53.5,2.0,21.4]",8.454102688883891
19,"[70.6,16.0,40.8]",10.5,"[70.6,16.0,40.8]",11.037937269103056
20,"[74.7,49.4,45.7]",14.7,"[74.7,49.4,45.7]",13.601815776055151
21,"[75.1,35.0,52.7]",12.6,"[75.1,35.0,52.7]",11.614756000989894
22,"[75.3,20.3,32.5]",11.3,"[75.3,20.3,32.5]",11.467319375286568
23,"[75.5,10.8,6.0]",9.9,"[75.5,10.8,6.0]",8.724625652896343
24,"[76.4,0.8,14.8]",9.4,"[76.4,0.8,14.8]",8.69051677560175
25,"[76.4,26.7,22.3]",11.8,"[76.4,26.7,22.3]",12.216938621363365
26,"[85.7,35.8,49.3]",13.3,"[85.7,35.8,49.3]",17.8147560009899
27,"[88.3,25.5,73.4]",12.9,"[88.3,25.5,73.4]",14.440899294479221
28,"[89.7,9.9,35.7]",10.6,"[89.7,9.9,35.7]",9.036223947788109
29,"[93.9,43.5,50.5]",15.3,"[93.9,43.5,50.5]",17.653247040360704
30,"[94.2,4.9,8.1]",9.7,"[94.2,4.9,8.1]",10.012104332449695
31,"[95.7,1.4,7.4]",9.5,"[95.7,1.4,7.4]",9.96521849733718
32,"[96.2,14.8,38.9]",11.4,"[96.2,14.8,38.9]",12.494073757011638
33,"[110.7,40.6,63.2]",16.0,"[110.7,40.6,63.2]",17.485652378407188
34,"[116.0,7.7,23.1]",11.0,"[116.0,7.7,23.1]",10.047187635970293
35,"[117.2,14.7,5.4]",11.9,"[117.2,14.7,5.4]",12.63601586092172
36,"[123.1,34.6,12.4]",15.2,"[123.1,34.6,12.4]",17.83291582857014
37,"[125.7,36.9,79.2]",15.9,"[125.7,36.9,79.2]",17.72258405502835
38,"[131.7,18.4,34.6]",12.9,"[131.7,18.4,34.6]",13.38079612520561
39,"[134.3,4.9,9.3]",11.2,"[134.3,4.9,9.3]",10.409069236761319
40,"[135.2,41.7,45.9]",17.2,"[135.2,41.7,45.9]",18.432765136665996
41,"[137.9,46.4,59.0]",19.2,"[137.9,46.4,59.0]",18.268131909828128
42,"[139.2,14.3,25.6]",12.2,"[139.2,14.3,25.6]",13.426422243841563
43,"[139.5,2.1,26.6]",10.3,"[139.5,2.1,26.6]",10.46224705104888
44,"[149.7,35.6,6.0]",17.3,"[149.7,35.6,6.0]",14.940454851773147
45,"[149.8,1.3,24.3]",10.1,"[149.8,1.3,24.3]",10.991545690684605
46,"[156.6,2.6,8.3]",10.5,"[156.6,2.6,8.3]",10.749482848645382
47,"[163.5,36.8,7.4]",18.0,"[163.5,36.8,7.4]",19.123256697752815
48,"[165.6,10.0,17.6]",12.6,"[165.6,10.0,17.6]",14.592831925770898
49,"[168.4,7.1,12.8]",11.7,"[168.4,7.1,12.8]",13.307108022084025
50,"[170.2,7.8,35.2]",11.7,"[170.2,7.8,35.2]",13.488043052647106
51,"[171.3,39.7,37.7]",19.0,"[171.3,39.7,37.7]",19.02911091585397
52,"[175.1,22.5,31.5]",14.9,"[175.1,22.5,31.5]",14.743725470747023
53,"[175.7,15.4,2.4]",14.1,"[175.7,15.4,2.4]",15.461029882270081
54,"[177.0,9.3,6.4]",12.8,"[177.0,9.3,6.4]",15.627398112031651
55,"[180.8,10.8,58.4]",12.9,"[180.8,10.8,58.4]",14.627980234081509
56,"[184.9,21.0,22.0]",15.5,"[184.9,21.0,22.0]",14.711498943096888
57,"[188.4,18.1,25.6]",14.9,"[188.4,18.1,25.6]",14.611525477302326
58,"[195.4,47.7,52.9]",22.4,"[195.4,47.7,52.9]",23.77919243020387
59,"[197.6,3.5,5.9]",11.7,"[197.6,3.5,5.9]",10.537211432954498
60,"[198.9,49.4,60.0]",23.7,"[198.9,49.4,60.0]",24.499752796537873
61,"[202.5,22.3,31.6]",16.6,"[202.5,22.3,31.6]",17.193161330765445
62,"[206.9,8.4,26.4]",12.9,"[206.9,8.4,26.4]",13.448333287577668
63,"[209.6,20.6,10.7]",15.9,"[209.6,20.6,10.7]",16.866767412180387
64,"[213.4,24.6,13.1]",17.0,"[213.4,24.6,13.1]",18.670881718146884
65,"[213.5,43.0,33.8]",21.7,"[213.5,43.0,33.8]",24.64891270347957
66,"[216.8,43.9,27.2]",22.3,"[216.8,43.9,27.2]",24.97059089531475
67,"[218.4,27.7,53.4]",18.0,"[218.4,27.7,53.4]",19.641649256951585
68,"[220.3,49.0,3.2]",24.7,"[220.3,49.0,3.2]",24.823316647863873
69,"[222.4,3.4,13.1]",11.5,"[222.4,3.4,13.1]",12.04841343045254
70,"[227.2,15.8,49.9]",14.8,"[227.2,15.8,49.9]",15.527614420925122
71,"[230.1,37.8,69.2]",22.1,"[230.1,37.8,69.2]",22.738573193995602
72,"[234.5,3.4,84.8]",11.9,"[234.5,3.4,84.8]",12.233745922210723
73,"[237.4,5.1,23.5]",12.5,"[237.4,5.1,23.5]",12.165885576620436
74,"[238.2,34.3,5.3]",20.7,"[238.2,34.3,5.3]",18.705035406737995
75,"[239.8,4.1,36.9]",12.3,"[239.8,4.1,36.9]",12.417630449530895
76,"[240.1,7.3,8.7]",13.2,"[240.1,7.3,8.7]",13.443351652025752
77,"[248.4,30.2,20.3]",20.2,"[248.4,30.2,20.3]",20.600979392940186
78,"[248.8,27.1,22.9]",18.9,"[248.8,27.1,22.9]",20.954756750589766
79,"[261.3,42.7,54.7]",24.2,"[261.3,42.7,54.7]",25.25138696038821
80,"[262.7,28.8,15.9]",20.2,"[262.7,28.8,15.9]",20.87774338033729
81,"[276.7,2.3,23.7]",11.8,"[276.7,2.3,23.7]",12.210447070482568
82,"[276.9,48.9,41.8]",27.0,"[276.9,48.9,41.8]",25.473173952215564
83,"[281.4,39.6,55.8]",24.4,"[281.4,39.6,55.8]",22.484309009345335
84,"[287.6,43.0,71.8]",26.2,"[287.6,43.0,71.8]",25.465142358191596
85,"[292.9,28.3,43.2]",21.4,"[292.9,28.3,43.2]",21.221016751570616
86,"[296.4,36.3,100.9]",23.8,"[296.4,36.3,100.9]",21.66119309541798
